collected_date_year,collected_date_month,collected_date_day,collected_date_hour,collected_date_minute,gateway_id,device_address,data_type,data_value,status
2018,10,1,0,1,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,2,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,3,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,4,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,5,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,6,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,7,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,8,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,9,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,10,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,11,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,12,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,13,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,14,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,15,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,16,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,17,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,18,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,19,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,20,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,21,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,22,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,23,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,24,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,25,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,26,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,27,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,28,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,29,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,30,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,31,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,1,0,32,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
