,device_id,date,acc,type1,type2
0,00158D000151B2051,20191101,1440,0,0
1,00158D000151B2051,20191102,1440,0,0
2,00158D000151B2051,20191103,1440,0,0
3,00158D000151B2051,20191104,1440,0,0
4,00158D000151B2051,20191105,1440,0,0
5,00158D000151B2051,20191106,1440,0,0
6,00158D000151B2051,20191107,1440,0,0
7,00158D000151B2051,20191108,1440,0,0
8,00158D000151B2051,20191109,1440,0,0
9,00158D000151B2051,20191110,1440,0,0
10,00158D000151B2051,20191111,1440,0,0
11,00158D000151B2051,20191112,1440,0,0
12,00158D000151B2051,20191113,1440,0,0
13,00158D000151B2051,20191114,1440,0,0
14,00158D000151B2051,20191115,1440,0,0
15,00158D000151B2051,20191116,1440,0,0
16,00158D000151B2051,20191117,1440,0,0
17,00158D000151B2051,20191118,1440,0,0
18,00158D000151B2051,20191119,1440,0,0
19,00158D000151B2051,20191120,1440,0,0
20,00158D000151B2051,20191121,1440,0,0
21,00158D000151B2051,20191122,1440,0,0
22,00158D000151B2051,20191123,1440,0,0
23,00158D000151B2051,20191124,1440,0,0
24,00158D000151B2051,20191125,1440,0,0
25,00158D000151B2051,20191126,1440,0,0
26,00158D000151B2051,20191127,1440,0,0
27,00158D000151B2051,20191128,1440,0,0
28,00158D000151B2051,20191129,1440,0,0
29,00158D000151B2051,20191130,1440,0,0
30,00158D000151B2051,20191131,1440,0,0
31,00158D000151B30F1,20191101,1440,0,0
32,00158D000151B30F1,20191102,1440,0,0
33,00158D000151B30F1,20191103,1440,0,0
34,00158D000151B30F1,20191104,1440,0,0
35,00158D000151B30F1,20191105,1440,0,0
36,00158D000151B30F1,20191106,1440,0,0
37,00158D000151B30F1,20191107,1440,0,0
38,00158D000151B30F1,20191108,1440,0,0
39,00158D000151B30F1,20191109,1440,0,0
40,00158D000151B30F1,20191110,1440,0,0
41,00158D000151B30F1,20191111,1440,0,0
42,00158D000151B30F1,20191112,1440,0,0
43,00158D000151B30F1,20191113,1440,0,0
44,00158D000151B30F1,20191114,1440,0,0
45,00158D000151B30F1,20191115,1440,0,0
46,00158D000151B30F1,20191116,1440,0,0
47,00158D000151B30F1,20191117,1440,0,0
48,00158D000151B30F1,20191118,1440,0,0
49,00158D000151B30F1,20191119,1440,0,0
