,device_id,score,appliance_no,gateway_id,appliance_type,appliance_name,appliance_type_name
119,00158D0001A43EFD1,0.9898987894423497,20181203000041,ep17470224,I0,로봇청소기,청소기
120,00158D0001A446381,0.9997948823137275,20181129000068,ep18270368,F0,"TV(SKYMEDIA 43"""")",TV
121,00158D0001A44A901,0.9997136125177365,20181203000020,ep17470221,H0,밥솥,전기밥솥
122,00158D0001A44BC51,0.9999418976236129,20181129000061,ep17470182,D3,제습기,제습기
123,00158D0001A454CE1,0.9995656561785409,20181129000033,ep17470213,F2,오디오,오디오
124,00158D0001A454F81,0.9989116795984738,20181129000077,ep18270195,F0,TV,TV
125,00158D0001A455141,0.9991670896289645,20181129000034,ep17470213,H5,전자레인지,전자레인지
126,00158D0001A455631,0.999615911506011,20181129000005,ep17470196,Z1,디지털피아노,디지털피아노
127,00158D0001A458F31,0.9991550053132242,20181129000006,ep17470196,I0,무선청소기,청소기
128,00158D0001A4590E1,0.993020962722977,20181204000003,ep17470192,H0,전기밭솥,전기밥솥
129,00158D0001A459C11,0.991446702841902,20181129000063,ep17470182,A1,선풍기,선풍기
130,00158D0001A459CF1,0.999577502656612,20181129000007,ep17470196,F0,TV,TV
131,00158D0001A45C8F1,0.9998438069453846,20181129000064,ep17470182,F0,TV,TV
132,00158D0001A462461,0.9996387656104861,20181129000053,ep17470195,F0,Samsung TV,TV
133,00158D0001A46D971,0.9994143598953656,20181129000035,ep17470213,E0,세탁기,세탁기
134,00158D0001A471A41,0.9818086251987077,20181129000072,ep18270368,J0,"맥북에어(13"""")",컴퓨터
135,00158D0001A4777C1,0.9978749088348464,20181217000011,ep18270189,B2,장기장판2(작은방),전기장판
136,00158D0001A47ABF1,0.9984377601065396,20181129000009,ep17470192,J0,PC,컴퓨터
137,00158D0001A47B601,1.0,20181129000036,ep17470213,F0,TV,TV
