collected_date_year,collected_date_month,collected_date_day,collected_date_hour,collected_date_minute,gateway_id,device_address,data_type,data_value,status
2018,10,27,20,9,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,10,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,11,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,12,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,13,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,14,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,15,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,16,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,54,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,55,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,56,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,57,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,58,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,20,59,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,0,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,1,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,2,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,3,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,4,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,5,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,6,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,7,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,8,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,9,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,10,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,11,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,12,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,13,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,14,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,15,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,16,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,17,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,18,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,19,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,20,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,21,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,22,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,23,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,24,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,31,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,32,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,33,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,34,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,35,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,36,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,37,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,38,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,39,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,40,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,41,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,42,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,43,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,44,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,45,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,46,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,47,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,48,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,49,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,50,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,51,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,52,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,53,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,54,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,55,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,56,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,57,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,58,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,21,59,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,22,0,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,22,1,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,22,2,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,22,3,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,22,4,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,22,5,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,22,6,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
2018,10,27,22,46,ep1747-qxgswizc-0143,00158D000151B490,energy,,0
